model,mean_r2,std_r2,mean_mae,std_mae,fold_1,fold_2,fold_3,fold_4,fold_5
xgboost,0.767021159569152,0.022476364336698553,0.8289548695317464,0.06608755950801694,0.7972477784142722,0.7851680201583786,0.7479865667810452,0.7366948187963843,0.7680086136956792
gradient_boosting,0.647925912011605,0.02861910408214245,1.1116356187247103,0.03961815454811707,0.6764494357285555,0.645302008335451,0.6139155450175353,0.6196920291833339,0.684270541793149
random_forest,0.4645401539016934,0.03759390750674769,1.3953727552269317,0.07482419127504271,0.4656754969910981,0.500969408585325,0.41477277237812704,0.4307236075909082,0.5105594839630084
elastic_net,0.04535641200534515,0.01196790229041821,2.0225153691321203,0.11765911229826698,0.03310785683662287,0.054918425417184724,0.02850887046461059,0.05530284268622199,0.054944064622085564
bayesian_ridge,0.04513368036227947,0.012280860286382951,2.0221304938879485,0.11758198212376975,0.032458234363856864,0.054721501921276894,0.027937047604422616,0.05544114215608498,0.055110475765756006
