county,fiscal_year,total_tiv
Santa Clara,2021,1252442467
Santa Cruz,2025,17663370272
Santa Cruz,2024,9866250969
Santa Cruz,2023,4514347665
Santa Cruz,2022,2965959794
Santa Cruz,2021,1753255473
Shasta,2025,4574081681
Shasta,2024,3421004656
Shasta,2023,2252959910
Shasta,2022,1311525640
Shasta,2021,1002123489
Sierra,2025,429522949
Sierra,2024,362263757
Sierra,2023,271957060
Sierra,2022,2109074871
Sierra,2021,54550329
Siskiyou,2025,2398835481
Siskiyou,2024,1685907830
Siskiyou,2023,844096336
Siskiyou,2022,5288285143
Siskiyou,2021,73504787
Solano,2025,1570943290
Solano,2024,843557502
Solano,2023,375089006
Solano,2022,1500745049
Solano,2021,7166680
Sonoma,2025,12536412454
Sonoma,2024,8362548888
Sonoma,2023,5055620209
Sonoma,2022,3260317113
Sonoma,2021,1424520563
Stanislaus,2025,714411734
Stanislaus,2024,356507022
Stanislaus,2023,141817157
Stanislaus,2022,742123825
Stanislaus,2021,5455116
Sutter,2025,115075861
Sutter,2024,53918888
Sutter,2023,14913619
Sutter,2022,191054821
Sutter,2021,5811963
Tehama,2025,1005768851
Tehama,2024,816861910
Tehama,2023,527187775
Tehama,2022,2914528112
Tehama,2021,23479688
Trinity,2025,897439087
Trinity,2024,759735744
Trinity,2023,601858042
Trinity,2022,4897819704
Trinity,2021,46703621
Tulare,2025,1801135472
Tulare,2024,1345242994
Tulare,2023,942510282
Tulare,2022,6370689834
Tulare,2021,55516997
Tuolumne,2025,11202009820
Tuolumne,2024,9800419627
Tuolumne,2023,8318952600
Tuolumne,2022,6497982568
Tuolumne,2021,5456892242
Ventura,2025,21098125022
Ventura,2024,12608249761
Ventura,2023,5730021679
Ventura,2022,3964054738
Ventura,2021,2714515183
Yolo,2025,245783046
Yolo,2024,240388717
Yolo,2023,116672577
Yolo,2022,463971463
Yolo,2021,9524205
Yuba,2025,1090363876
Yuba,2024,925440524
Yuba,2023,723964592
Yuba,2022,5685342434
Yuba,2021,51801506
