fips,mtfcc,lane_miles
1001,S1100,131.81348041446216
1001,S1200,378.7931825253154
1001,S1400,3264.39789040874
1003,S1100,475.720605190801
1003,S1200,1580.3557454818483
1003,S1400,8350.79669948974
1005,S1200,790.470781344025
1005,S1400,2503.2396800341817
1007,S1200,547.7205763275314
1007,S1400,2433.1470032122766
1009,S1100,97.29901772193375
1009,S1200,571.1581341572136
1009,S1400,3253.681275882645
1011,S1200,495.06198815107194
1011,S1400,1700.2590764362155
1013,S1100,275.1546031668051
1013,S1200,507.7618345221832
1013,S1400,3449.8552350463738
1015,S1100,89.39514108720934
1015,S1200,773.4527831192813
1015,S1400,5066.482008953703
1017,S1100,84.50017871490542
1017,S1200,384.6473427851619
1017,S1400,3736.2350843360523
1019,S1200,510.9694957592041
1019,S1400,3534.7479521547257
1021,S1100,224.2938042125872
1021,S1200,468.1566114222731
1021,S1400,2937.019340856113
1023,S1200,327.37514692492323
1023,S1400,2972.871916416022
1025,S1200,465.7189756193211
1025,S1400,3763.735816007186
1027,S1200,369.1942562051283
1027,S1400,2549.0492975268025
1029,S1100,166.6703690148772
1029,S1200,324.302396999451
1029,S1400,2190.1648981167145
1031,S1200,920.0404445009001
1031,S1400,2681.9164244467047
1033,S1200,775.9208932991645
1033,S1400,3245.2651729589247
1035,S1100,238.05681274431305
1035,S1200,413.04464489472645
1035,S1400,3487.8956561977952
1037,S1200,538.921235497819
1037,S1400,2437.9429619592734
1039,S1200,823.1221506062021
1039,S1400,5196.146051791293
1041,S1200,642.8408030187837
1041,S1400,2358.140156895135
1043,S1100,247.42169666579025
1043,S1200,707.3183758534608
1043,S1400,4665.794209623546
1045,S1200,673.0097055703131
1045,S1400,3143.1455203799933
1047,S1200,759.472797690408
1047,S1400,5279.243508162634
1049,S1100,340.58964199796264
1049,S1200,758.3011915040867
1049,S1400,5092.334665291399
1051,S1100,39.685772357061424
1051,S1200,804.0252653688202
1051,S1400,3753.1885955871917
1053,S1100,222.94191595065206
1053,S1200,692.762935639571
1053,S1400,4480.563303122845
1055,S1100,218.5482170914432
1055,S1200,764.0828721624001
1055,S1400,4037.124944810434
1057,S1200,414.1650497045457
1057,S1400,2401.836036776718
1059,S1200,675.9831941828745
1059,S1400,2844.6348136685583
1061,S1200,479.3345391655676
1061,S1400,2840.7802646963432
1063,S1100,450.9665413684713
1063,S1200,452.17342454534617
1063,S1400,2077.523302485836
1065,S1200,353.0371826818617
1065,S1400,1861.0500803989064
1067,S1200,525.9766571284283
1067,S1400,2872.9715532570576
1069,S1200,1064.2570357388788
1069,S1400,3767.219381965474
1071,S1200,1314.4538664171278
1071,S1400,3687.385190043354
1073,S1100,1462.9376532344988
1073,S1200,1714.300293163107
1073,S1400,13658.391148096376
1075,S1200,266.94051443254375
