probability_rank,fips,county_name,state,probability_score,probability_tier,drought_score,fire_frequency_score,max_consecutive_weeks,recent_intensity,episode_frequency,total_drought_weeks,fire_count,fires_per_100k,last_drought_end
197,49033,Rich County,UT,0.4579457343426544,Moderate,0.4971727007343562,0.09534429838448163,166,79.9647951009843,3,213,24,931.5846827756359,2023-07-10
198,35023,Hidalgo County,NM,0.4554417566388783,Moderate,0.4975408339000772,0.08246039664675672,153,81.03097051839852,4,209,28,805.704777801578,2024-01-01
199,8045,Garfield County,CO,0.45478753731893096,Moderate,0.5080874659608623,0.019870658477948885,174,79.36619614663527,3,210,184,194.18270526270712,2024-01-01
200,30075,Powder River County,MT,0.45473480215906786,Moderate,0.33509596313718765,1.0,112,57.36693613788299,2,160,135,9770.364741161131,2023-07-10
201,40151,Woods County,OK,0.4538133255447278,Moderate,0.5093107475544855,0.008737223939408156,140,79.65954285750995,6,187,7,85.405433417891,2024-01-01
202,15001,Hawaii County,HI,0.45331808581745886,Moderate,0.5101760719444592,0.001697786590032919,145,83.7792449327502,5,251,39,16.6278439384897,2024-01-01
203,49009,Daggett County,UT,0.4528704542272284,Moderate,0.4601159101076824,0.283462467496697,143,72.7991225894926,4,209,29,2769.5603002395574,2024-01-01
204,49003,Box Elder County,UT,0.45193692874377883,Moderate,0.5043672348047715,0.02866110298030704,173,78.55141739247293,3,191,209,280.0682033953537,2023-07-10
205,8029,Delta County,CO,0.4518298712489467,Moderate,0.5080874659608623,0.007116600392635291,174,79.36619614663527,3,210,29,69.57141494900189,2024-01-01
206,30071,Phillips County,MT,0.45167344865554604,Moderate,0.487954285703878,0.120538424537506,158,81.20395119584691,3,186,32,1177.7394789396712,2024-01-01
207,56029,Park County,WY,0.4498805845235115,Moderate,0.5014653609387617,0.03623888052491858,155,74.5898608712063,5,198,108,354.10555144786167,2024-01-01
208,32019,Lyon County,NV,0.44866088085813177,Moderate,0.5062861976363701,0.0036592011495144667,176,77.50599277664215,3,188,24,35.79150129853644,2023-06-12
209,40059,Harper County,OK,0.44672848587810415,Moderate,0.5029163625043189,0.01442344714123539,129,76.99210217962994,7,189,1,140.9616811197375,2024-01-01
210,16039,Elmore County,ID,0.44647556808781597,Moderate,0.4944970910541177,0.061045501943318904,180,77.4372816321472,2,190,144,596.4743004839028,2023-05-22
211,56021,Laramie County,WY,0.4454374030599502,Moderate,0.5040971761499337,0.0021642694401501684,156,74.9936439435813,5,187,23,21.185532908815254,2024-01-01
212,48417,Shackelford County,TX,0.4453470206611987,Moderate,0.4888632498765473,0.0881064063687475,124,74.63559054113749,7,190,9,860.8681267431315,2023-12-25
213,31161,Sheridan County,NE,0.44504439008356655,Moderate,0.5021746601811375,0.011364569961860216,174,83.87648560311492,2,180,2,111.07545748147379,2023-10-16
