final_rank,fips,county_name,state,final_risk_score,final_risk_tier,risk_quadrant,probability_score,probability_tier,impact_score,impact_tier,infrastructure_vulnerability_score,infrastructure_tier,predicted_risk_score,predicted_risk_tier,risk_direction,risk_change,trajectory,predicted_gdp_impact_pct,prediction_ci_low,prediction_ci_high,confidence_flag,top_shap_driver,shap_breakdown,industry_source,top_industries,total_gdp_m,wui_housing_fraction,wui_data_available,predicted_gdp_loss_m,estimated_loss_m,total_loss_low_m,total_loss_high_m,estimated_wage_loss_m,is_rural,population_density,rural_industry_source,rural_gdp_data_quality,rural_training_coverage,rural_prediction_confidence
758,29019,Boone County,MO,0.14021750338925554,Low,Low Probability / Low Impact,0.1765197989290058,Low,0.41257453332362376,Moderate,0.22806311510108557,Resilient,0.13947802192860176,Low,→ Stable,-0.0007394814606537792,At Risk,-10.107986450195312,-10.937986450195313,-9.277986450195312,Medium,unemployment_rate ↓ (-1.823),unemployment_rate: -1.823  |  drought_weeks_before: +1.284  |  gdp_per_capita: +0.405  |  water_vulnerability_score: +0.357  |  private_well_proxy_pct: -0.226  |  industry_sensitivity: +0.161  |  wage_base_m: -0.041  |  fire_frequency: +0.033,FOIA,Full-Service Restaurants | Hotels (except Casino Hotels) and Motels | Limited-Service Restaurants,13743.205,0.2425096447717821,True,336.88501320517145,842.2125330129286,741.1470290513772,943.27803697448,178.54905699874087,False,271.80209787455635,FOIA,surveyed,0,low
759,41051,Multnomah County,OR,0.1400712634526139,Low,Low Probability / Low Impact,0.19726130627234187,Low,0.39100116799696727,Moderate,0.052951995184144354,Resilient,0.1371927067794574,Low,→ Stable,-0.0028785566731564793,At Risk,-11.057233810424805,-11.887233810424805,-10.227233810424805,Medium,fire_frequency ↓ (-0.714),fire_frequency: -0.714  |  gdp_per_capita: -0.676  |  private_well_proxy_pct: +0.360  |  unemployment_rate: +0.354  |  industry_sensitivity: -0.309  |  water_vulnerability_score: +0.165  |  drought_weeks_before: +0.124  |  wage_base_m: -0.102,FOIA,"Full-Service Restaurants | Plumbing, Heating, and Air-Conditioning Contractors | General Automotive Repair",61666.615000000005,0.112866624907966,True,769.5948294876778,1923.9870737191943,1693.1086248728911,2154.8655225654975,407.8852596284692,False,1868.5412940032807,FOIA,surveyed,0,low
760,27009,Benton County,MN,0.13992250133083384,Low,Low Probability / Low Impact,0.15548565672055145,Low,0.44929570258096696,Moderate,0.3524009704395299,Moderate,0.139838419743234,Low,→ Stable,-8.408158759984352e-05,At Risk,-9.820622444152832,-10.650622444152832,-8.990622444152832,Medium,gdp_per_capita ↓ (-0.970),gdp_per_capita: -0.970  |  drought_weeks_before: +0.469  |  water_vulnerability_score: +0.421  |  unemployment_rate: +0.394  |  wage_base_m: +0.384  |  industry_sensitivity: -0.236  |  private_well_proxy_pct: -0.072  |  fire_frequency: +0.049,FOIA,"Machine Shops | General Freight Trucking, Local | Materials Recovery Facilities",3672.6125,0.0273751082876119,True,9.873473585727716,24.68368396431929,21.721641888600978,27.6457260400376,5.23294100043569,False,101.62061018410347,FOIA,surveyed,0,low
761,46029,Codington County,SD,0.1391038366063995,Low,Low Probability / Low Impact,0.1491962086369339,Low,0.4417523441589433,Moderate,0.5249257112668706,Vulnerable,0.13909364298042126,Low,→ Stable,-1.0193625978233145e-05,At Risk,-10.4025297164917,-11.2325297164917,-9.5725297164917,Medium,unemployment_rate ↓ (-2.105),unemployment_rate: -2.105  |  drought_weeks_before: +1.005  |  fire_frequency: +0.574  |  private_well_proxy_pct: -0.367  |  wage_base_m: +0.327  |  industry_sensitivity: +0.230  |  water_vulnerability_score: +0.112  |  gdp_per_capita: +0.081,FOIA,New Multifamily Housing Construction (except Operative Builders) | Hotels (except Casino Hotels) and Motels | All Other Miscellaneous Waste Management Services,2421.215,0.0199076527136477,True,5.01409290721108,12.5352322680277,11.031004395864377,14.039460140191023,2.6574692408218725,True,41.55937084142324,FOIA,surveyed,0,low
762,19045,Clinton County,IA,0.1390891074269633,Low,Low Probability / Low Impact,0.13142074007316842,Low,0.4957023323297415,Moderate,0.5641340657947255,Vulnerable,0.13901872177257138,Low,→ Stable,-7.038565439190791e-05,At Risk,-9.256640434265137,-10.086640434265137,-8.426640434265137,Medium,fire_frequency ↓ (-1.062),fire_frequency: -1.062  |  drought_weeks_before: +1.018  |  private_well_proxy_pct: +0.859  |  wage_base_m: +0.374  |  gdp_per_capita: -0.276  |  industry_sensitivity: -0.271  |  unemployment_rate: +0.226  |  water_vulnerability_score: +0.135,FOIA,Hotels (except Casino Hotels) and Motels | Sporting and Athletic Goods Manufacturing | Child Day Care Services,3809.8975,0.3368964074917507,True,118.81275489302278,297.031887232557,261.38806076465016,332.6757137004638,62.970760093302076,False,66.70465451918747,FOIA,surveyed,0,low
763,40123,Pontotoc County,OK,0.13754631427543182,Low,Low Probability / Low Impact,0.16883055546691314,Low,0.3899403159542607,Moderate,0.4908368716245355,Moderate,0.1375289878434023,Low,→ Stable,-1.7326432029507455e-05,At Risk,-8.108196258544922,-8.938196258544922,-7.278196258544922,Medium,drought_weeks_before ↑ (+1.423),drought_weeks_before: +1.423  |  fire_frequency: +0.606  |  industry_sensitivity: -0.561  |  private_well_proxy_pct: +0.485  |  wage_base_m: +0.267  |  water_vulnerability_score: +0.209  |  unemployment_rate: -0.176  |  gdp_per_capita: -0.101,FOIA,"All Other Professional, Scientific, and Technical Services | Offices of Dentists | Gasoline Stations with Convenience Stores",2498.5125,0.844076755141905,True,170.99669609183732,427.4917402295933,376.1927314020421,478.79074905714447,90.62824892867378,False,53.01067670989085,FOIA,surveyed,0,low
764,5025,Cleveland County,AR,0.13732428518471962,Low,Low Probability / High Impact,0.09117670834095436,Low,0.6944988608256447,High,0.6180218966959602,Vulnerable,0.13743012612551253,Low,→ Stable,0.00010584094079291173,At Risk,-6.983133316040039,-7.813133316040039,-6.153133316040039,Medium,drought_weeks_before ↑ (+0.849),drought_weeks_before: +0.849  |  gdp_per_capita: +0.769  |  wage_base_m: +0.391  |  private_well_proxy_pct: +0.349  |  fire_frequency: +0.319  |  industry_sensitivity: +0.316  |  water_vulnerability_score: +0.288  |  unemployment_rate: -0.004,FOIA,"Broilers and Other Meat Type | Other Poultry Production | All Other Professional, Scientific, and Technical Services",453.145,0.4369747899159664,True,13.827507665364882,34.568769163412206,30.420516863802742,38.717021463021666,7.328579062643388,True,12.527303440317105,FOIA,surveyed,0,low
765,46013,Brown County,SD,0.13583788363142135,Low,Low Probability / Low Impact,0.12216000638470306,Low,0.49861485273378126,Moderate,0.7165167482772381,Vulnerable,0.1358064474600714,Low,→ Stable,-3.14361713499578e-05,At Risk,-12.291570663452148,-13.121570663452149,-11.461570663452148,Medium,unemployment_rate ↓ (-2.246),unemployment_rate: -2.246  |  drought_weeks_before: +1.478  |  wage_base_m: +0.656  |  water_vulnerability_score: -0.546  |  fire_frequency: -0.443  |  industry_sensitivity: -0.438  |  private_well_proxy_pct: -0.322  |  gdp_per_capita: -0.172,FOIA,Hotels (except Casino Hotels) and Motels | Title Abstract and Settlement Offices | Full-Service Restaurants,3148.55,0.0025160749231199,True,0.9737367159958228,2.434341789989557,2.1422207751908102,2.7264628047883037,0.5160804594777861,True,22.20486506365913,FOIA,surveyed,0,low
766,48361,Orange County,TX,0.13558251437554236,Low,Low Probability / Low Impact,0.13608916616083294,Low,0.5070525372060913,High,0.29143352197222533,Moderate,0.13513900911402102,Low,→ Stable,-0.00044350526152134306,Resilient,-10.385150909423828,-11.215150909423828,-9.555150909423828,Medium,gdp_per_capita ↓ (-0.771),gdp_per_capita: -0.771  |  drought_weeks_before: +0.380  |  unemployment_rate: +0.369  |  water_vulnerability_score: +0.277  |  fire_frequency: -0.161  |  industry_sensitivity: -0.113  |  wage_base_m: -0.090  |  private_well_proxy_pct: -0.016,FOIA,Car Washes | Gasoline Stations with Convenience Stores | Lessors of Miniwarehouses and Self-Storage Units,7738.725,0.7811486613244714,True,627.7922045236812,1569.480511309203,1381.1428499520987,1757.8181726663074,332.72986839755106,False,254.79438921944,FOIA,surveyed,1,low
767,29153,Ozark County,MO,0.13517637637753868,Low,Low Probability / Low Impact,0.1406110615560035,Low,0.4270703900406904,Moderate,0.7500532909177366,Critical,0.1352634796161813,Low,→ Stable,8.710323864261071e-05,At Risk,-9.6442232131958,-10.4742232131958,-8.8142232131958,Medium,industry_sensitivity ↓ (-0.595),industry_sensitivity: -0.595  |  unemployment_rate: +0.362  |  wage_base_m: +0.334  |  gdp_per_capita: +0.229  |  drought_weeks_before: +0.209  |  water_vulnerability_score: -0.193  |  fire_frequency: +0.139  |  private_well_proxy_pct: +0.131,FOIA,Other Personal Care Services,650.185,0.3759203980099502,True,23.57219858863216,58.9304964715804,51.85883689499075,66.00215604817004,12.493265251975044,True,11.76607973627058,FOIA,surveyed,0,low
