FOB,Region,Regulating Agency,Water System No,Water System Name,Principal County Served,"Principal County Served, State",Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 09 - SACRAMENTO,CA0910002,SOUTH TAHOE PUD - MAIN,EL DORADO,"EL DORADO, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,29013,NULL,88000,117013,0,NULL,648,0,13639,14287,C1,Large Water System,10/20/2022,SOUTH LAKE TAHOE,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 12 - VISALIA,CA1503384,SOUTH VALLEY FARMS-BEECH HULLER/OFFICE,KERN,"KERN, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,75,NULL,75,0,NULL,5,0,0,5,SP,Non-Transient Non-Community Water System,1/14/2021,WASCO,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA59 - NEVADA COUNTY,CA2900613,SOUTH YUBA CAMPGROUND,NEVADA,"NEVADA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,85,85,0,NULL,4,0,0,4,N1,Transient Non-Community Water System,9/28/2023,NEVADA CITY,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 09 - SACRAMENTO,CA2905001,SOUTH YUBA RIVER STATE PARK,NEVADA,"NEVADA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,GW,Groundwater,NULL,NULL,800,800,0,NULL,3,0,0,3,N1,Transient Non-Community Water System,3/12/2024,PENN VALLEY,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600756,SOUTHERN CALIFORNIA BLENDING CENTER INC,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,180,180,0,NULL,39,0,2,41,N1,Transient Non-Community Water System,4/11/2023,YUCAIPA,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 01 - KLAMATH,CA5305009,"SOUTHERN TRINITY HEALTH SERVICES, INC.",TRINITY,"TRINITY, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,30,30,NULL,NULL,1,NULL,NULL,1,N1,Transient Non-Community Water System,10/28/2021,NULL,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 05 - MONTEREY,CA3500521,SOUTHSIDE ELEMENTARY SCHOOL,SAN BENITO,"SAN BENITO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,300,NULL,300,0,NULL,2,0,0,2,SP,Non-Transient Non-Community Water System,6/24/2021,HOLLISTER,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA64 - SACRAMENTO COUNTY,CA3400156,SOUTHWEST TRACT W M D [SWS],SACRAMENTO,"SACRAMENTO, California",C,Community,C,Community,A,Active,L,Local,GWP,Groundwater Purchased,103,NULL,NULL,103,0,NULL,1,0,32,33,NULL,,10/26/2021,SACRAMENTO,NULL,,D2,Distribution Operator Level 2
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 12 - VISALIA,CA1000562,SOUTHWEST TRANSPORTATION AGENCY,FRESNO,"FRESNO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,0,NULL,2,0,0,2,SP,Non-Transient Non-Community Water System,8/28/2019,CARUTHERS,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3901406,SOUTHWINDS CHURCH OF TRACY,SAN JOAQUIN,"SAN JOAQUIN, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,3/21/2022,TRACY,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2810014,SPANISH FLAT WATER DISTRICT,NAPA,"NAPA, California",C,Community,C,Community,A,Active,L,Local,SW,Surface Water,230,NULL,NULL,230,0,NULL,10,0,87,97,SC,Small Community,6/13/2024,NAPA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000789,SPANISH LAKES MUTUAL WATER CO,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,125,NULL,NULL,125,0,NULL,0,0,45,45,SC,Small Community,4/25/2024,PASO ROBLES,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA63 - RIVERSIDE COUNTY,CA3302062,SPARTAN VETERINARY SERVICES,RIVERSIDE,"RIVERSIDE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,3,8,25,36,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,5/8/2020,ANZA,NULL,,NR,Not Required
