FOB,Region,Regulating Agency,Water System No,Water System Name,Principal County Served,"Principal County Served, State",Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900045,1000 TRAILS / SOLEDAD CANYON PRESERVE,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,800,800,0,NULL,0,0,1,1,N1,Transient Non-Community Water System,6/12/2024,ACTON,T3,Treatment Operator Level 3,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2800014,11:11 WINERY,NAPA,"NAPA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,6/1/2021,NAPA,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3901031,132 INVESTMENTS WATER SYSTEM,SAN JOAQUIN,"SAN JOAQUIN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,187,NULL,65,252,0,NULL,3,0,90,93,SC,Small Community,9/2/2022,VERNALIS,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000725,141 SUBURBAN ROAD WATER SUPPLY,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,0,NULL,0,0,1,1,NULL,,9/27/2023,SAN LUIS OBISPO,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1503684,148 EAST WATER SYSTEM,KERN,"KERN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,36,NULL,NULL,36,0,NULL,0,0,14,14,SC,Small Community,4/24/2024,INYOKERN,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA46 - KINGS COUNTY,CA1600293,15TH AVENUE,KINGS,"KINGS, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,50,NULL,NULL,50,0,NULL,0,1,2,3,SC,Small Community,9/12/2019,LEMOORE,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900669,2218 LAKE TAHOE BLVD LLC,EL DORADO,"EL DORADO, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,15,1,16,NULL,NULL,3,NULL,2,5,NULL,,5/9/2013,SOUTH LAKE TAHOE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0901281,30 MILESTONE TRACT #1,EL DORADO,"EL DORADO, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,SW,Surface Water,24,NULL,NULL,24,NULL,NULL,NULL,NULL,14,14,XS,State Small Water System,10/9/2007,POLLOCK PINES,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0901282,30 MILESTONE TRACT #2,EL DORADO,"EL DORADO, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,SW,Surface Water,NULL,20,NULL,20,NULL,NULL,NULL,NULL,14,14,XS,State Small Water System,10/9/2007,POLLOCK PINES,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 05 - MONTEREY,CA3500557,33RD DISTRICT AGRICULTURAL ASSOCIATION,SAN BENITO,"SAN BENITO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,GW,Groundwater,NULL,NULL,9000,9000,0,NULL,72,0,0,72,N1,Transient Non-Community Water System,8/9/2019,TRES PINOS,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2800570,4410 LAKE COUNTY WATER SYSTEM,NAPA,"NAPA, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,10,10,0,NULL,0,0,5,5,NULL,,8/13/2020,CALISTOGA,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900616,47 MILESTONE/ASPEN CREEK TRACT,EL DORADO,"EL DORADO, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,17,NULL,NULL,17,NULL,NULL,NULL,NULL,6,6,XS,State Small Water System,NULL,TWIN BRIDGES,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA80 - STANISLAUS COUNTY,CA5000258,4937 BECKWITH WATER SYSTEM,STANISLAUS,"STANISLAUS, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,26,26,NULL,NULL,1,NULL,NULL,1,N1,Transient Non-Community Water System,3/11/2020,MODESTO,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 28 - YOSEMITE,CA5500120,49ER TRAILER RANCH,TUOLUMNE,"TUOLUMNE, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,95,NULL,20,115,0,NULL,0,0,80,80,DAVCS,Disadvantaged Small Community Water System,12/6/2023,COLUMBIA,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA80 - STANISLAUS COUNTY,CA5000082,4N MOBILEHOME PARK,STANISLAUS,"STANISLAUS, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,65,NULL,NULL,65,0,NULL,0,0,31,31,SC,Small Community,9/24/2021,OAKDALE,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA80 - STANISLAUS COUNTY,CA5000573,5033 PENTECOST,STANISLAUS,"STANISLAUS, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,302,NULL,302,0,NULL,2,0,0,2,SP,Non-Transient Non-Community Water System,6/21/2017,MODESTO,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1502744,60TH STREET ASSOC. WATER SYSTEM,KERN,"KERN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,39,NULL,NULL,39,0,NULL,0,0,10,10,SC,Small Community,11/14/2023,ROSAMOND,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA64 - SACRAMENTO COUNTY,CA3400358,"6200 FRANKLIN, LLC  (SWS)",SACRAMENTO,"SACRAMENTO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,200,NULL,200,0,NULL,4,0,0,4,SP,Non-Transient Non-Community Water System,11/22/2022,SACRAMENTO,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA4901394,7180 HWY 116 LLC,SONOMA,"SONOMA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,2,5,50,57,0,NULL,1,0,1,2,N1,Transient Non-Community Water System,3/17/2022,COTATI,T1,Treatment Operator Level 1,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3902216,88 MARKET & GRILL,SAN JOAQUIN,"SAN JOAQUIN, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,NULL,60,62,1,NULL,1,NULL,1,3,NULL,,9/23/2021,CLEMENTS,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3601189,8986 DEEP CREEK ROAD,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,300,300,NULL,NULL,1,NULL,NULL,1,NULL,,10/11/2023,APPLE VALLEY,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5400679,99 PALMS INN AND SUITES,TULARE,"TULARE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,60,60,0,NULL,55,0,0,55,N1,Transient Non-Community Water System,3/3/2017,TULARE,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3902172,A SAMBADO & SON 39-321,SAN JOAQUIN,"SAN JOAQUIN, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,0,NULL,0,0,15,15,,,4/12/2021,LINDEN,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3902141,A SAMBADO & SON 39-370/WS, ,,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 01 - KLAMATH,CA1200776,A W WAY - HUMBOLDT CO. PARKS,HUMBOLDT,"HUMBOLDT, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,1,NULL,300,301,0,NULL,1,0,1,2,N1,Transient Non-Community Water System,6/23/2022,PETROLIA,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1500466,A.F.P. MUTUAL WATER COMPANY,KERN,"KERN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,710,NULL,NULL,710,0,NULL,0,0,220,220,SC,Small Community,9/21/2021,TEHACHAPI,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3900606,A1 WINSTONS MOBILE HOME PARK,SAN JOAQUIN,"SAN JOAQUIN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,75,NULL,NULL,75,0,NULL,0,0,30,30,SC,Small Community,10/25/2023,STOCKTON,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA72 - SANTA BARBARA COUNTY,CA4200969,AAA KINDNESS CARE HOME,SANTA BARBARA,"SANTA BARBARA, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,30,NULL,15,45,1,NULL,1,0,0,2,NULL,,1/19/2024,NULL,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA82 - TEHAMA COUNTY,CA5200559,ABBEY OF NEW CLAIRVAUX,TEHAMA,"TEHAMA, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,25,NULL,38,63,4,NULL,20,0,0,24,SC,Small Community,8/24/2023,VINA,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 27 - MOJAVE,CA1400020,ABERDEEN WATER SYSTEM,INYO,"INYO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,38,NULL,NULL,38,0,NULL,1,0,74,75,SC,Small Community,1/5/2023,INDEPENDENCE,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3901480,ABF FREIGHT WATER SYSTEM,SAN JOAQUIN,"SAN JOAQUIN, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,8/27/2019,STOCKTON,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 17 - SANTA CLARA,CA4300792,ABORN HEIGHTS WATER MUTUAL ASSOCIATION,SANTA CLARA,"SANTA CLARA, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,45,NULL,NULL,45,19,NULL,0,0,19,38,SC,Small Community,9/26/2023,SAN JOSE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3601171,ABRAHAM MAIDA WATER SYSTEM,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,1/21/2020,HELENDALE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 01 - KLAMATH,CA4700542,ABRAMS LAKE MOBILE ESTATES,SISKIYOU,"SISKIYOU, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,135,NULL,NULL,135,0,NULL,2,0,84,86,DAVCS,Disadvantaged Small Community Water System,9/14/2022,MT. SHASTA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3901303,ACAMPO WATER SYSTEM,SAN JOAQUIN,"SAN JOAQUIN, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,231,NULL,NULL,231,0,NULL,4,0,66,70,SC,Small Community,2/1/2022,ACAMPO,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5400538,ACCELERATED CHARTER HIGH SCHOOL,TULARE,"TULARE, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,192,NULL,192,0,NULL,10,0,0,10,SP,Non-Transient Non-Community Water System,7/15/2021,TULARE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 01 - KLAMATH,CA5301013,ACKERMAN CAMPGROUND,TRINITY,"TRINITY, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,100,100,0,NULL,6,0,0,6,N1,Transient Non-Community Water System,6/26/2023,LEWISTON,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900904,ACTON CONSERVATION CAMP #11,LOS ANGELES,"LOS ANGELES, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GU,Groundwater UDI Surface Water,NULL,90,NULL,90,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,8/31/2022,ACTON,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900894,ACTON FOUR SQUARE CHURCH,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,5/16/2023,ACTON,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900092,ACTON LA NORTH KOA,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,400,400,0,NULL,85,0,1,86,N1,Transient Non-Community Water System,5/22/2024,ACTON,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 15 - METROPOLITAN,CA1907004,ACTON-AGUA DULCE LDS CHURCH,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,150,150,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,2/7/2023,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000839,ADA'S LODGES,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,25,NULL,NULL,25,NULL,NULL,NULL,NULL,1,1,NULL,,6/10/2022,NULL,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 12 - VISALIA,CA1000650,ADAM'S MARKET,FRESNO,"FRESNO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,150,150,0,NULL,1,0,1,2,N1,Transient Non-Community Water System,5/17/2023,FRESNO,TD,Treatment or distribution operator of any grade,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 21 - VALLEY,CA0605012,ADAM'S VEGETABLE OILS,COLUSA,"COLUSA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,95,NULL,95,0,NULL,0,1,0,1,SP,Non-Transient Non-Community Water System,9/13/2022,ARBUCKLE,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000856,ADELAIDA WINERY,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,25,50,77,NULL,NULL,1,NULL,NULL,1,NULL,,NULL,NULL,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000740,ADELAIDE ESTATES,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,,,GW,Groundwater,NULL,NULL,15,15,0,NULL,0,0,5,5,NULL,,NULL,PASO ROBLES,NULL,,NULL,
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 13 - SAN BERNARDINO,CA3610001,"ADELANTO, CITY OF",SAN BERNARDINO,"SAN BERNARDINO, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,39930,NULL,NULL,151579,0,NULL,188,169,7961,8318,C1,Large Water System,3/30/2021,ADELANTO,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA64 - SACRAMENTO COUNTY,CA3400429,ADESA OF SACRAMENTO,SACRAMENTO,"SACRAMENTO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,320,NULL,320,0,NULL,3,0,1,4,SP,Non-Transient Non-Community Water System,10/27/2020,SACRAMENTO,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 21 - VALLEY,CA0605004,ADM RICE INC.,COLUSA,"COLUSA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,84,NULL,84,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,9/13/2022,ARBUCKLE,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 18 - SONOMA,CA4901214,ADOBE CHRISTIAN CHURCH,SONOMA,"SONOMA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,50,NULL,50,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,4/18/2023,PETALUMA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 03 - MENDOCINO,CA2800625,ADVENTIST HEALTH - ST. HELENA HOSPITAL,NAPA,"NAPA, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,617,NULL,200,817,11,NULL,3,6,176,196,SC,Small Community,3/11/2019,ST. HELENA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2701187,AERA ENERGY LLC WS,MONTEREY,"MONTEREY, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,4,75,NULL,79,0,NULL,8,1,2,11,SP,Non-Transient Non-Community Water System,10/26/2023,SAN ARDO,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 12 - VISALIA,CA1500495,AERA ENERGY-LLC,KERN,"KERN, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,350,1150,1500,0,NULL,4,17,0,21,SP,Non-Transient Non-Community Water System,11/10/2022,BUTTONWILLOW,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1500405,"AERIAL ACRES WATER COMPANY, INC.",KERN,"KERN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,87,NULL,NULL,87,0,NULL,0,0,49,49,SC,Small Community,10/12/2022,NORTH EDWARDS,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600797,AERONAUTICAL SYSTEMS,SAN BERNARDINO,"SAN BERNARDINO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,126,NULL,126,1,NULL,34,NULL,0,35,SP,Non-Transient Non-Community Water System,2/7/2023,ADELANTO,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2800569,AETNA SPRINGS GOLF COURSE,NAPA,"NAPA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,100,NULL,100,0,NULL,2,0,0,2,N1,Transient Non-Community Water System,6/20/2024,POPE VALLEY,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000744,AFUERA DE CHORRO WATER COMPANY,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,79,NULL,NULL,79,0,NULL,0,0,25,25,SC,Small Community,2/22/2024,SAN LUIS OBISPO,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 12 - VISALIA,CA1500543,AGAPE MUTUAL WATER SYSTEM,KERN,"KERN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,50,NULL,NULL,50,0,NULL,0,0,16,16,SC,Small Community,2/15/2022,BAKERSFIELD,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 09 - SACRAMENTO,CA3110012,AGATE BAY WATER COMPANY,PLACER,"PLACER, California",C,Community,C,Community,A,Active,P,Private,SW,Surface Water,2500,NULL,NULL,2500,0,NULL,1,0,583,584,SC,Small Community,8/15/2023,CARNELIAN BAY,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 12 - VISALIA,CA1500518,AGBAYANI VILLAGE WATER SYSTEM,KERN,"KERN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,26,12,NULL,38,0,NULL,1,0,1,2,SC,Small Community,12/21/2018,DELANO,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA56 - MONO COUNTY,CA2000380,AGNEW MEADOWS CAMPGROUND,MADERA,"MADERA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,0,NULL,0,0,9,9,NULL,,6/3/2022,BISHOP,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA50 - MADERA COUNTY,CA2000866,AGRILAND FARMING,MADERA,"MADERA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,60,NULL,60,0,NULL,3,0,1,4,SP,Non-Transient Non-Community Water System,6/7/2022,CHOWCHILLA,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 26 - IMPERIAL,CA3700846,AGUA CALIENTE COUNTY PARK,SAN DIEGO,"SAN DIEGO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,400,400,0,NULL,137,0,4,141,N1,Transient Non-Community Water System,8/31/2022,JULIAN,TD,Treatment or distribution operator of any grade,NR,Not Required
